x,y,xc,x2,yc
-1.0883948187014423,-0.9563112305044805,,-1.424184239742771,False
4.107276772960116,-0.6715635830767271,level_-0.5,0.4273598185960867,False
7.4063890451954615,0.9063033173293276,level_1.0,0.6688490868475716,True
,0.22279177225288813,level_0.0,-0.0157870725176923,False
,-0.9754305121250199,,-0.49101667270297755,False
,-0.2484383639742579,level_-0.0,-1.1641648924450057,False
,0.25949594198626863,level_0.5,-1.1444762180974963,False
,0.9155675390471183,level_1.0,-0.6211506843102088,True
,-1.0095740830714215,,0.00296301326768569,False
,-0.9230876600117366,,0.0714132306055891,False
-8.448126510066853,-0.7375409716188979,level_-0.5,0.7151404079542787,False
-1.724713534336464,-0.8943767837534237,,-1.123869076229711,False
0.08452448533443109,0.2147644367407778,level_0.0,1.369281958322875,False
-2.574917610180627,-0.5687480770444882,level_-0.5,2.13578871046414,False
1.2225464583554304,0.7816017970027639,level_1.0,-0.35188704982003993,True
-0.9465630375692214,-0.8635744410841225,,0.6631810887079547,False
13.360862089023897,0.9253648169466786,level_1.0,-0.24211662683529642,True
2.3240124443384893,0.8987902497803776,level_1.0,-0.4367337177288935,True
4.229652221812587,-0.8855961690148649,,-0.08611621464987608,False
-2.5177079106967475,-0.6115068336368261,level_-0.5,0.8718061987858867,False
-4.816677649230623,1.056006309950758,level_1.0,0.8770558982682101,True
0.3248431474828772,0.36637534184311055,level_0.5,-0.008811138025669754,False
-16.025201164198705,0.35361302813002404,level_0.5,-0.5597256223769229,False
5.274847132073623,-0.6644551379388247,level_-0.5,-0.38886227930705924,False
4.036383469243421,-0.8604042749259817,,-0.4351602169351549,False
2.370702768576111,0.5438627735687297,level_0.5,-1.055602444549665,True
2.0546412340285007,0.9814634081666578,level_1.0,2.658233108294325,True
2.4334463439017364,0.5726192672621725,level_0.5,1.943819405325445,True
-2.67764854313095,-0.41525469280790106,level_-0.5,0.7602304458148144,False
-4.194539716438045,0.8271244023658255,level_1.0,0.9691390230178442,True
-4.0618741003072065,0.7202206662996532,level_0.5,-0.623058722985518,True
-2.2539647138637924,-0.8208523262220447,,-2.045393431918319,False
5.354006778732608,-0.7815629761812001,,0.584140617824043,False
1.0871057492158422,0.7500915902204592,level_1.0,-0.6758947523492874,True
-5.879292971388006,0.399128911259985,level_0.5,2.0219369932199447,False
-4.630583945446485,0.8972513039197908,level_1.0,-0.5430529520550972,True
-4.9697383057121645,1.0559547566328567,level_1.0,-0.04282297026429458,True
2.934031546166662,0.04492159763463047,level_0.0,0.09266298017655278,False
